Tournament Year,Permanent Tournament #,Event Name,Course Name,Round Number,Round Score
2017,464,Safeway Open,Silverado Resort and Spa North,1,73
2017,464,Safeway Open,Silverado Resort and Spa North,1,67
2017,464,Safeway Open,Silverado Resort and Spa North,1,70
2017,464,Safeway Open,Silverado Resort and Spa North,1,69
2017,464,Safeway Open,Silverado Resort and Spa North,1,75
2017,464,Safeway Open,Silverado Resort and Spa North,1,73
2017,464,Safeway Open,Silverado Resort and Spa North,1,72
2017,464,Safeway Open,Silverado Resort and Spa North,1,70
2017,464,Safeway Open,Silverado Resort and Spa North,1,68
2017,464,Safeway Open,Silverado Resort and Spa North,1,70
2017,464,Safeway Open,Silverado Resort and Spa North,1,71
2017,464,Safeway Open,Silverado Resort and Spa North,1,72
2017,464,Safeway Open,Silverado Resort and Spa North,1,69
2017,464,Safeway Open,Silverado Resort and Spa North,1,70
2017,464,Safeway Open,Silverado Resort and Spa North,1,67
2017,464,Safeway Open,Silverado Resort and Spa North,1,73
2017,464,Safeway Open,Silverado Resort and Spa North,1,80
2017,464,Safeway Open,Silverado Resort and Spa North,1,70
2017,464,Safeway Open,Silverado Resort and Spa North,1,71
2017,464,Safeway Open,Silverado Resort and Spa North,1,76
2017,464,Safeway Open,Silverado Resort and Spa North,1,75
2017,464,Safeway Open,Silverado Resort and Spa North,1,68
2017,464,Safeway Open,Silverado Resort and Spa North,1,75
2017,464,Safeway Open,Silverado Resort and Spa North,1,74
2017,464,Safeway Open,Silverado Resort and Spa North,1,72
2017,464,Safeway Open,Silverado Resort and Spa North,1,69
2017,464,Safeway Open,Silverado Resort and Spa North,1,76
2017,464,Safeway Open,Silverado Resort and Spa North,1,66
2017,464,Safeway Open,Silverado Resort and Spa North,1,69
2017,464,Safeway Open,Silverado Resort and Spa North,1,70
2017,464,Safeway Open,Silverado Resort and Spa North,1,71
2017,464,Safeway Open,Silverado Resort and Spa North,1,71
2017,464,Safeway Open,Silverado Resort and Spa North,1,72
2017,464,Safeway Open,Silverado Resort and Spa North,1,73
2017,464,Safeway Open,Silverado Resort and Spa North,1,74
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,73
2017,464,Safeway Open,Silverado Resort and Spa North,2,73
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,71
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,74
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,70
2017,464,Safeway Open,Silverado Resort and Spa North,2,69
2017,464,Safeway Open,Silverado Resort and Spa North,2,72
2017,464,Safeway Open,Silverado Resort and Spa North,2,74
